"Ticker","Name","Price","Dividend Yield","Market Cap ($M)","P/E Ratio","Payout Ratio","Beta"
"SPG","Simon Property Group, Inc.","153.84","5.3","101,969","21.9","117.0","0.54"
"SPGI","S&P Global, Inc.","248.59","0.9","61,227","31.3","27.8","1.01"
"SRE","Sempra Energy","141.17","2.7","38,758","20.0","53.9","0.36"
"STI","SunTrust Banks, Inc.","69.57","3.0","30,891","12.7","37.5","0.91"
"STT","State Street Corp.","67.12","2.9","24,406","13.1","37.7","1.03"
"STX","Seagate Technology Plc","57.75","4.4","15,254","8.0","35.1","1.37"
"STZ","Constellation Brands, Inc.","192.92","1.9","36,970","46.8","90.4","0.77"
"SWK","Stanley Black & Decker, Inc.","152.09","2.2","23,078","32.7","72.2","1.54"
"SWKS","Skyworks Solutions, Inc.","91.66","1.7","15,738","17.4","29.9","1.54"
"SYF","Synchrony Financial","35.68","3.0","23,056","6.5","19.4","1.01"
"SYK","Stryker Corp.","213.72","1.0","79,740","22.5","21.9","0.96"
"SYMC","Symantec Corp.","22.85","1.3","14,122","123.7","162.4","1.22"
"SYY","Sysco Corp.","78.86","2.0","40,376","24.3","48.0","0.49"
"T","AT&T, Inc.","38.49","5.3","281,246","17.2","91.0","0.60"
"TAP","Molson Coors Brewing Co.","54.57","3.3","11,802","13.2","43.5","0.68"
"TDG","TransDigm Group, Inc.","527.52","5.7","28,156","39.5","224.6","1.19"
"TEL","TE Connectivity Ltd.","94.56","1.9","31,766","10.1","19.2","1.08"
"TFX","Teleflex, Inc.","327.34","0.4","15,133","55.5","23.1","0.98"
"TGT","Target Corp.","109.72","3.0","56,059","18.0","53.2","0.93"
"TIF","Tiffany & Co.","129.72","1.7","15,670","28.1","48.9","1.20"
"TJX","The TJX Cos., Inc.","58.34","1.9","70,747","23.2","42.9","0.98"
"TMO","Thermo Fisher Scientific, Inc.","299.90","0.2","120,102","33.5","8.3","1.14"
"TMUS","T-Mobile US, Inc.","82.39","0.0","70,398","21.4","0.0","0.75"
"TPR","Tapestry, Inc.","26.13","5.2","7,520","11.8","60.7","1.35"
"TRIP","TripAdvisor, Inc.","40.52","0.0","5,644","41.2","0.0","1.46"
"TROW","T. Rowe Price Group, Inc.","117.08","2.5","27,358","14.7","37.3","1.23"
"TRV","The Travelers Cos., Inc.","129.30","3.1","33,374","14.4","44.6","0.71"
"TSCO","Tractor Supply Co.","95.71","1.4","11,414","20.8","28.7","0.98"
"TSN","Tyson Foods, Inc.","82.08","2.3","24,187","13.4","30.5","0.49"
"TSS","Total System Services, Inc.","133.27","0.4","23,587","38.9","15.2",""
"TTWO","Take-Two Interactive Software, Inc.","122.78","0.0","13,895","45.1","0.0","1.13"
"TWTR","Twitter, Inc.","30.06","0.0","23,236","14.4","0.0","1.66"
"TXN","Texas Instruments Incorporated","120.00","3.3","112,221","21.9","72.6","1.30"
"TXT","Textron, Inc.","47.03","0.2","10,735","12.8","2.7","1.25"
"UA","Under Armour, Inc.","19.04","0.0","8,591","100.6","0.0","1.38"
"UAA","Under Armour, Inc.","21.19","0.0","9,561","111.9","0.0","1.37"
"UAL","United Airlines Holdings, Inc.","92.19","0.0","23,328","8.5","0.0","1.01"
